repo	stars	lang	fork	archived	readme	license	gitignore	ci	tests	lintcfg	lockfile	manifest	contributing	security	coc	issue_tmpl	pr_tmpl	dependabot	docs_dir	changelog	editorconfig	codeowners	precommit	skills	agent_md	plugins	templates	examples	prompts	schema	mcp	marketplace	hooks	commands
github/copilot-cli	10857	Shell	false	false	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
multica-ai/multica	37926	Go	false	false	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0
aden-hive/hive	10588	Python	false	false	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0
numman-ali/openskills	10489	TypeScript	false	false	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1
wshobson/agents	37158	Python	false	false	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1
Jeffallan/claude-skills	10197	Python	false	false	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1
Yeachan-Heo/oh-my-claudecode	36932	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1
Orchestra-Research/AI-Research-SKILLs	10080	TeX	false	false	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0
Alishahryar1/free-claude-code	36878	Python	false	false	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
langchain-ai/open-swe	10042	Python	false	false	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
reworkd/AgentGPT	36223	TypeScript	false	true	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0
greensock/gsap-skills	9981	?	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
musistudio/claude-code-router	35308	TypeScript	false	false	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1
diet103/claude-code-infrastructure-showcase	9714	Shell	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
AstrBotDevs/AstrBot	35307	Python	false	false	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1
