repo	n_paths	truncated	adr	specs_dir	prd	requirements_md	roadmap	rfc	changelog	speckit	kiro	openspec	agents_md	claude_md	docs_dir	is_software
microsoft/autogen	2319	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
rails/rails	6059	false	false	false	false	false	false	false	true	false	false	false	true	false	false	true
ionic-team/ionic-framework	10790	false	false	true	false	false	false	false	true	false	false	false	false	false	true	true
run-llama/llama_index	13804	false	false	false	false	false	false	false	true	false	false	false	true	false	true	true
expo/expo	23867	false	false	true	false	false	false	false	true	false	false	false	true	true	true	true
meteor/meteor	5426	false	false	true	false	false	true	false	true	false	false	false	true	true	true	true
charmbracelet/bubbletea	302	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
gofiber/fiber	497	false	false	false	false	false	false	false	false	false	false	false	true	false	true	true
QuivrHQ/quivr	285	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
Textualize/textual	2233	false	false	false	false	false	true	false	true	false	false	false	false	false	true	true
langchain-ai/langgraph	827	false	false	true	false	false	false	false	true	false	false	false	true	true	true	true
google-ai-edge/mediapipe	5426	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
laravel/framework	3857	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
medusajs/medusa	36505	false	false	true	false	false	false	false	true	false	false	false	false	true	true	true
zeromicro/go-zero	1662	false	false	true	false	false	false	false	true	false	false	false	false	false	false	true
sherlock-project/sherlock	65	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
OpenHands/OpenHands	2830	false	false	false	false	false	false	false	false	false	false	false	true	false	true	true
tldr-pages/tldr	37481	false	false	false	false	false	false	false	false	false	false	false	true	true	false	true
ultralytics/ultralytics	1120	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
santifer/career-ops	360	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
Raphire/Win11Debloat	354	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Aider-AI/aider	780	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
google/zx	205	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
cli/cli	1704	false	false	false	false	false	false	false	false	false	false	false	true	false	true	true
spf13/cobra	74	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
sharkdp/fd	71	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
sxyazi/yazi	1494	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
vadimdemedes/ink	295	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
httpie/cli	314	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
